% UltraMSK: version 1.0.2
% Site: localhost.localdomain
% Date: 2016-07-23
% Frequency: 24000.000000 Hz
% Baud Rate: 200 Hz
% VLF Channel: 2
% PPS Channel: 1
% Jack Server: default
% Output Format: Polar
% End          
00000.000  -46.51 -150.67
00020.000  -46.49 -151.89
00040.000  -46.56 -152.62
% Warning: sampling overrun detected
00060.000  -46.45 -153.21
00080.000  -46.39 -154.16
00100.000  -46.35 -154.99
% Warning: sampling overrun detected
00120.000  -46.32 -156.11
00140.000  -46.26 -156.88
00160.000  -46.23 -157.83
00180.000  -46.19 -158.43
00200.000  -46.17 -159.41
00220.000  -46.16 -160.60
00240.000  -46.15 -161.86
00260.000  -46.13 -163.37
00280.000  -46.20 -164.47
00300.000  -46.09 -165.94
00320.000  -46.05 -167.03
00340.000  -46.00 -168.11
00360.000  -45.95 -169.04
00380.000  -45.92 -169.96
00400.000  -45.90 -170.98
00420.000  -45.89 -172.27
00440.000  -45.87 -173.47
00460.000  -45.87 -174.41
00480.000  -45.90 -175.26
00500.000  -45.92 -176.41
00520.000  -46.03 -177.37
00540.000  -45.96 -178.09
00560.000  -45.95 -179.46
00580.000  -45.93  179.57
00600.000  -45.91  178.35
00620.000  -45.91  177.20
00640.000  -45.92  176.16
00660.000  -45.92  174.99
00680.000  -45.93  173.68
00700.000  -45.90  172.69
00720.000  -45.84  171.46
00740.000  -45.76  170.73
00760.000  -45.80  170.01
00780.000  -45.69  169.19
00800.000  -45.62  168.05
00820.000  -45.60  166.99
00840.000  -45.51  165.68
00860.000  -45.44  164.56
00880.000  -45.36  163.64
00900.000  -45.29  162.79
00920.000  -45.26  161.84
00940.000  -45.20  160.89
00960.000  -45.18  159.83
00980.000  -45.16  158.59
01000.000  -45.16  157.46
01020.000  -45.04  156.59
01040.000  -45.00  155.62
01060.000  -44.98  154.63
01080.000  -44.93  153.74
% Warning: sampling overrun detected
01100.000  -44.86  152.75
01120.000  -44.78  151.90
01140.000  -44.70  151.01
01160.000  -44.63  150.06
01180.000  -44.58  148.96
% Warning: sampling overrun detected
01200.000  -44.49  147.73
01220.000  -44.42  146.66
01240.000  -44.39  145.71
01260.000  -44.25  144.95
01280.000  -44.17  144.15
01300.000  -44.12  143.26
01320.000  -44.08  142.53
01340.000  -44.05  141.75
01360.000  -43.98  140.84
01380.000  -43.92  140.11
01400.000  -43.84  139.26
01420.000  -43.77  138.45
01440.000  -43.68  137.95
01460.000  -43.59  136.98
01480.000  -43.56  136.25
01500.000  -43.39  135.52
01520.000  -43.30  134.69
01540.000  -43.23  134.05
01560.000  -43.15  133.45
01580.000  -43.08  132.70
01600.000  -43.04  132.26
01620.000  -43.04  131.83
01640.000  -43.03  131.20
01660.000  -43.00  130.73
01680.000  -42.96  130.20
01700.000  -42.93  129.27
01720.000  -42.92  128.39
01740.000  -42.81  127.67
01760.000  -42.75  127.00
01780.000  -42.72  126.23
01800.000  -42.64  125.69
01820.000  -42.56  125.12
01840.000  -42.48  124.38
01860.000  -42.41  123.88
01880.000  -42.38  123.19
01900.000  -42.33  122.53
% Warning: sampling overrun detected
01920.000  -42.29  121.84
01940.000  -42.23  121.16
